"utm10","especie"
"NB62","Herpestes ichneumon"
"NB62","Genetta genetta"
"NC95","Martes foina"
"NF29","Vulpes vulpes"
"NC87","Martes foina"
"NC87","Meles meles"
"NC87","Genetta genetta"
"NC87","Herpestes ichneumon"
"NC87","Vulpes vulpes"
"NC87","Lutra lutra"
"NC67","Herpestes ichneumon"
"NC64","Vulpes vulpes"
"NC75","Martes foina"
"PE27","Martes foina"
"PE82","Martes foina"
"PE83","Martes foina"
"PE53","Martes foina"
"PE35","Martes foina"
"PE50","Lutra lutra"
"NC89","Herpestes ichneumon"
"ND83","Meles meles"
"ND84","Meles meles"
"PD07","Meles meles"
"PD09","Lutra lutra"
"NE90","Vulpes vulpes"
"PD09","Vulpes vulpes"
"PD31","Vulpes vulpes"
"PC08","Vulpes vulpes"
"NC89","Martes foina"
"ND71","Martes foina"
"ND73","Martes foina"
"ND73","Lutra lutra"
"ND71","Lutra lutra"
"NC87","Sus scrofa"
"PE16","Sus scrofa"
"NB62","Erinaceus europaeus"
"NB65","Erinaceus europaeus"
"NB66","Erinaceus europaeus"
"NB67","Erinaceus europaeus"
"NC70","Erinaceus europaeus"
"NC87","Talpa occidentalis"
"PD16","Erinaceus europaeus"
"NB47","Lepus granatensis"
"NB65","Oryctolagus cuniculus"
"PD09","Oryctolagus cuniculus"
"NB99","Rattus rattus"
"NB66","Apodemus sylvaticus"
"NC96","Rattus norvegicus"
"PE78","Vulpes vulpes"
"PE78","Martes foina"
"PE78","Genetta genetta"
"PE78","Meles meles"
"PF74","Martes foina"
"PF74","Genetta genetta"
"PF74","Herpestes ichneumon"
"PF74","Neovison vison"
"PF74","Vulpes vulpes"
"PF74","Meles meles"
"PF74","Lutra lutra"
"PE86","Martes foina"
"PE76","Vulpes vulpes"
"PE76","Martes foina"
"PE76","Meles meles"
"PE76","Genetta genetta"
"PE86","Meles meles"
"PE86","Vulpes vulpes"
"PE86","Genetta genetta"
"PE75","Vulpes vulpes"
"PE75","Martes foina"
"PE75","Meles meles"
"PE87","Vulpes vulpes"
"PE87","Genetta genetta"
"PE87","Herpestes ichneumon"
"PE87","Meles meles"
"PE87","Martes foina"
"PE77","Vulpes vulpes"
"PE77","Martes foina"
"PE86","Herpestes ichneumon"
"PE67","Vulpes vulpes"
"PE67","Martes foina"
"PE66","Martes foina"
"PE66","Genetta genetta"
"PE67","Meles meles"
"PE67","Genetta genetta"
"PE66","Vulpes vulpes"
"PE65","Vulpes vulpes"
"PE65","Martes foina"
"PE65","Herpestes ichneumon"
"PE75","Genetta genetta"
"PE65","Genetta genetta"
"PE78","Capreolus capreolus"
"PE78","Sus scrofa"
"PF74","Capreolus capreolus"
"PF74","Sus scrofa"
