"utm10","centr_x","centr_y","especie","ordem","recente","confirmado"
"NG92",-7.85699599420436,41.7711529912997,"Mustela putorius","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Sciurus vulgaris","Roedores",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Lepus granatensis","Lagomorfos",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Felis silvestris","Carnivoros",NA,NA
"NG92",-7.85699599420436,41.7711529912997,"Martes martes","Carnivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Meles meles","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Mustela erminea","Carnivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Lutra lutra","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Capreolus capreolus","Artiodactilos",1,0
"NG92",-7.85699599420436,41.7711529912997,"Cervus elaphus","Artiodactilos",NA,NA
"NG92",-7.85699599420436,41.7711529912997,"Felis silvestris","Carnivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Lepus granatensis","Lagomorfos",1,0
"NG92",-7.85699599420436,41.7711529912997,"Sciurus vulgaris","Roedores",1,1
"NG92",-7.85699599420436,41.7711529912997,"Oryctolagus cuniculus","Lagomorfos",1,0
"NG92",-7.85699599420436,41.7711529912997,"Neovison vison","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Lutra lutra","Carnivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Galemys pyrenaicus","Insectivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Felis silvestris","Carnivoros",1,0
"NG92",-7.85699599420436,41.7711529912997,"Sus scrofa","Artiodactilos",1,0
"NG92",-7.85699599420436,41.7711529912997,"Canis lupus","Carnivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Erinaceus europaeus","Insectivoros",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Canis lupus","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Sus scrofa","Artiodactilos",0,NA
"NG92",-7.85699599420436,41.7711529912997,"Martes martes","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Vulpes vulpes","Carnivoros",1,1
"NG92",-7.85699599420436,41.7711529912997,"Oryctolagus cuniculus","Lagomorfos",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Cervus elaphus","Artiodactilos",1,1
"PG13",-7.61448580681872,41.8585506441766,"Herpestes ichneumon","Carnivoros",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Canis lupus","Carnivoros",1,0
"PG13",-7.61448580681872,41.8585506441766,"Oryctolagus cuniculus","Lagomorfos",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Sus scrofa","Artiodactilos",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Capreolus capreolus","Artiodactilos",1,1
"PG13",-7.61448580681872,41.8585506441766,"Vulpes vulpes","Carnivoros",1,0
"PG13",-7.61448580681872,41.8585506441766,"Apodemus sylvaticus","Roedores",1,1
"PG13",-7.61448580681872,41.8585506441766,"Galemys pyrenaicus","Insectivoros",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Crocidura russula","Insectivoros",1,1
"PG13",-7.61448580681872,41.8585506441766,"Canis lupus","Carnivoros",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Oryctolagus cuniculus","Lagomorfos",1,0
"PG13",-7.61448580681872,41.8585506441766,"Microtus agrestis","Roedores",1,1
"PG13",-7.61448580681872,41.8585506441766,"Lepus granatensis","Lagomorfos",1,0
"PG13",-7.61448580681872,41.8585506441766,"Lepus granatensis","Lagomorfos",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Sciurus vulgaris","Roedores",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Sus scrofa","Artiodactilos",1,1
"PG13",-7.61448580681872,41.8585506441766,"Genetta genetta","Carnivoros",1,1
"PG13",-7.61448580681872,41.8585506441766,"Lutra lutra","Carnivoros",0,NA
"PG13",-7.61448580681872,41.8585506441766,"Sus scrofa","Artiodactilos",NA,NA
"PG13",-7.61448580681872,41.8585506441766,"Microtus lusitanicus","Roedores",1,1
"PG23",-7.49404486079078,41.8570342713005,"Lepus granatensis","Lagomorfos",1,0
"PG23",-7.49404486079078,41.8570342713005,"Capreolus capreolus","Artiodactilos",1,0
"PG23",-7.49404486079078,41.8570342713005,"Oryctolagus cuniculus","Lagomorfos",0,NA
"PG23",-7.49404486079078,41.8570342713005,"Canis lupus","Carnivoros",1,0
"PG23",-7.49404486079078,41.8570342713005,"Canis lupus","Carnivoros",0,NA
"PG23",-7.49404486079078,41.8570342713005,"Oryctolagus cuniculus","Lagomorfos",1,0
"PG23",-7.49404486079078,41.8570342713005,"Sus scrofa","Artiodactilos",1,0
"PG23",-7.49404486079078,41.8570342713005,"Sus scrofa","Artiodactilos",NA,NA
"PG23",-7.49404486079078,41.8570342713005,"Sciurus vulgaris","Roedores",0,NA
"PG23",-7.49404486079078,41.8570342713005,"Lepus granatensis","Lagomorfos",0,NA
"PG23",-7.49404486079078,41.8570342713005,"Vulpes vulpes","Carnivoros",1,0
"PG23",-7.49404486079078,41.8570342713005,"Galemys pyrenaicus","Insectivoros",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Neovison vison","Carnivoros",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Oryctolagus cuniculus","Lagomorfos",1,0
"NG52",-8.3382186435755,41.7749329890291,"Vulpes vulpes","Carnivoros",1,0
"NG52",-8.3382186435755,41.7749329890291,"Oryctolagus cuniculus","Lagomorfos",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Martes foina","Carnivoros",1,1
"NG52",-8.3382186435755,41.7749329890291,"Sciurus vulgaris","Roedores",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Canis lupus","Carnivoros",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Canis lupus","Carnivoros",NA,NA
"NG52",-8.3382186435755,41.7749329890291,"Lepus granatensis","Lagomorfos",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Neovison vison","Carnivoros",1,0
"NG52",-8.3382186435755,41.7749329890291,"Capreolus capreolus","Artiodactilos",1,0
"NG52",-8.3382186435755,41.7749329890291,"Galemys pyrenaicus","Insectivoros",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Sus scrofa","Artiodactilos",0,NA
"NG52",-8.3382186435755,41.7749329890291,"Erinaceus europaeus","Insectivoros",1,1
"NG52",-8.3382186435755,41.7749329890291,"Lepus granatensis","Lagomorfos",NA,NA
"NG52",-8.3382186435755,41.7749329890291,"Canis lupus","Carnivoros",1,1
"NG52",-8.3382186435755,41.7749329890291,"Genetta genetta","Carnivoros",1,1
"NG52",-8.3382186435755,41.7749329890291,"Lutra lutra","Carnivoros",1,1
"NG52",-8.3382186435755,41.7749329890291,"Sus scrofa","Artiodactilos",1,0
"NG52",-8.3382186435755,41.7749329890291,"Lutra lutra","Carnivoros",0,NA
"MD93",-9.05787622157032,39.1641960653397,"Martes foina","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Felis silvestris","Carnivoros",NA,NA
"MD93",-9.05787622157032,39.1641960653397,"Apodemus sylvaticus","Roedores",1,1
"MD93",-9.05787622157032,39.1641960653397,"Meles meles","Carnivoros",NA,NA
"MD93",-9.05787622157032,39.1641960653397,"Lepus granatensis","Lagomorfos",0,NA
"MD93",-9.05787622157032,39.1641960653397,"Herpestes ichneumon","Carnivoros",1,1
"MD93",-9.05787622157032,39.1641960653397,"Crocidura russula","Insectivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Erinaceus europaeus","Insectivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Oryctolagus cuniculus","Lagomorfos",0,NA
"MD93",-9.05787622157032,39.1641960653397,"Sciurus vulgaris","Roedores",1,0
"MD93",-9.05787622157032,39.1641960653397,"Lepus granatensis","Lagomorfos",1,0
"MD93",-9.05787622157032,39.1641960653397,"Microtus lusitanicus","Roedores",1,1
"MD93",-9.05787622157032,39.1641960653397,"Mustela nivalis","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Lutra lutra","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Mustela putorius","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Rattus rattus","Roedores",1,0
"MD93",-9.05787622157032,39.1641960653397,"Meles meles","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Rattus norvegicus","Roedores",1,1
"MD93",-9.05787622157032,39.1641960653397,"Sus scrofa","Artiodactilos",1,0
"MD93",-9.05787622157032,39.1641960653397,"Herpestes ichneumon","Carnivoros",0,NA
"MD93",-9.05787622157032,39.1641960653397,"Mus spretus","Roedores",1,1
"MD93",-9.05787622157032,39.1641960653397,"Genetta genetta","Carnivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Talpa occidentalis","Insectivoros",1,0
"MD93",-9.05787622157032,39.1641960653397,"Oryctolagus cuniculus","Lagomorfos",1,1
"MD93",-9.05787622157032,39.1641960653397,"Eliomys quercinus","Roedores",1,1
"MD93",-9.05787622157032,39.1641960653397,"Vulpes vulpes","Carnivoros",1,1
"NA89",-8.04473302950136,36.9973018597534,"Lutra lutra","Carnivoros",0,NA
"NA89",-8.04473302950136,36.9973018597534,"Genetta genetta","Carnivoros",1,0
"NA89",-8.04473302950136,36.9973018597534,"Felis silvestris","Carnivoros",NA,NA
"NA89",-8.04473302950136,36.9973018597534,"Herpestes ichneumon","Carnivoros",1,1
"NA89",-8.04473302950136,36.9973018597534,"Martes foina","Carnivoros",1,0
"NA89",-8.04473302950136,36.9973018597534,"Mus spretus","Roedores",1,1
"NA89",-8.04473302950136,36.9973018597534,"Rattus rattus","Roedores",1,1
"NA89",-8.04473302950136,36.9973018597534,"Erinaceus europaeus","Insectivoros",1,1
"NA89",-8.04473302950136,36.9973018597534,"Lepus granatensis","Lagomorfos",1,0
"NA89",-8.04473302950136,36.9973018597534,"Eliomys quercinus","Roedores",1,0
"NA89",-8.04473302950136,36.9973018597534,"Mus musculus","Roedores",1,0
"NA89",-8.04473302950136,36.9973018597534,"Meles meles","Carnivoros",1,0
"NA89",-8.04473302950136,36.9973018597534,"Lutra lutra","Carnivoros",1,0
"NA89",-8.04473302950136,36.9973018597534,"Sus scrofa","Artiodactilos",1,0
"NA89",-8.04473302950136,36.9973018597534,"Rattus norvegicus","Roedores",1,0
"NA89",-8.04473302950136,36.9973018597534,"Crocidura russula","Insectivoros",1,1
"NA89",-8.04473302950136,36.9973018597534,"Arvicola sapidus","Roedores",1,1
"NA89",-8.04473302950136,36.9973018597534,"Oryctolagus cuniculus","Lagomorfos",1,0
"NA89",-8.04473302950136,36.9973018597534,"Microtus duodecimcostatus","Roedores",1,1
"NA89",-8.04473302950136,36.9973018597534,"Apodemus sylvaticus","Roedores",1,1
"NA89",-8.04473302950136,36.9973018597534,"Suncus etruscus","Insectivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Lutra lutra","Carnivoros",0,NA
"NA99",-7.93236549894693,36.996344292343,"Meles meles","Carnivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Mus spretus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Eliomys quercinus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Sus scrofa","Artiodactilos",1,0
"NA99",-7.93236549894693,36.996344292343,"Herpestes ichneumon","Carnivoros",1,1
"NA99",-7.93236549894693,36.996344292343,"Felis silvestris","Carnivoros",NA,NA
"NA99",-7.93236549894693,36.996344292343,"Rattus rattus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Mus musculus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Apodemus sylvaticus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Lutra lutra","Carnivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Oryctolagus cuniculus","Lagomorfos",1,0
"NA99",-7.93236549894693,36.996344292343,"Martes foina","Carnivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Suncus etruscus","Insectivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Rattus norvegicus","Roedores",1,0
"NA99",-7.93236549894693,36.996344292343,"Lepus granatensis","Lagomorfos",1,1
"NA99",-7.93236549894693,36.996344292343,"Meles meles","Carnivoros",NA,NA
"NA99",-7.93236549894693,36.996344292343,"Crocidura russula","Insectivoros",1,0
"NA99",-7.93236549894693,36.996344292343,"Erinaceus europaeus","Insectivoros",1,1
"NA99",-7.93236549894693,36.996344292343,"Vulpes vulpes","Carnivoros",1,1
