"utm10","centr_x","centr_y","especie","ordem","recente","confirmado"
"NB62",NA,NA,"Herpestes ichneumon",NA,NA,NA
"NB62",NA,NA,"Genetta genetta",NA,NA,NA
"NC95",NA,NA,"Martes foina",NA,NA,NA
"NF29",NA,NA,"Vulpes vulpes",NA,NA,NA
"NC87",NA,NA,"Martes foina",NA,NA,NA
"NC87",NA,NA,"Meles meles",NA,NA,NA
"NC87",NA,NA,"Genetta genetta",NA,NA,NA
"NC87",NA,NA,"Herpestes ichneumon",NA,NA,NA
"NC87",NA,NA,"Vulpes vulpes",NA,NA,NA
"NC87",NA,NA,"Lutra lutra",NA,NA,NA
"NC67",NA,NA,"Herpestes ichneumon",NA,NA,NA
"NC64",NA,NA,"Vulpes vulpes",NA,NA,NA
"NC75",NA,NA,"Martes foina",NA,NA,NA
"PE27",NA,NA,"Martes foina",NA,NA,NA
"PE82",NA,NA,"Martes foina",NA,NA,NA
"PE83",NA,NA,"Martes foina",NA,NA,NA
"PE53",NA,NA,"Martes foina",NA,NA,NA
"PE35",NA,NA,"Martes foina",NA,NA,NA
"PE50",NA,NA,"Lutra lutra",NA,NA,NA
"NC89",NA,NA,"Herpestes ichneumon",NA,NA,NA
"ND83",NA,NA,"Meles meles",NA,NA,NA
"ND84",NA,NA,"Meles meles",NA,NA,NA
"PD07",NA,NA,"Meles meles",NA,NA,NA
"PD09",NA,NA,"Lutra lutra",NA,NA,NA
"NE90",NA,NA,"Vulpes vulpes",NA,NA,NA
"PD09",NA,NA,"Vulpes vulpes",NA,NA,NA
"PD31",NA,NA,"Vulpes vulpes",NA,NA,NA
"PC08",NA,NA,"Vulpes vulpes",NA,NA,NA
"NC89",NA,NA,"Martes foina",NA,NA,NA
"ND71",NA,NA,"Martes foina",NA,NA,NA
"ND73",NA,NA,"Martes foina",NA,NA,NA
"ND73",NA,NA,"Lutra lutra",NA,NA,NA
"ND71",NA,NA,"Lutra lutra",NA,NA,NA
"NC87",NA,NA,"Sus scrofa",NA,NA,NA
"PE16",NA,NA,"Sus scrofa",NA,NA,NA
"NB62",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB65",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB66",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB67",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NC70",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NC87",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD16",NA,NA,"Erinaceus europaeus",NA,NA,NA
"NB47",NA,NA,"Lepus granatensis",NA,NA,NA
"NB65",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PD09",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"NB99",NA,NA,"Rattus rattus",NA,NA,NA
"NB66",NA,NA,"Apodemus sylvaticus",NA,NA,NA
"NC96",NA,NA,"Rattus norvegicus",NA,NA,NA
"PE78",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE78",NA,NA,"Martes foina",NA,NA,NA
"PE78",NA,NA,"Genetta genetta",NA,NA,NA
"PE78",NA,NA,"Meles meles",NA,NA,NA
"PF74",NA,NA,"Martes foina",NA,NA,NA
"PF74",NA,NA,"Genetta genetta",NA,NA,NA
"PF74",NA,NA,"Herpestes ichneumon",NA,NA,NA
"PF74",NA,NA,"Neovison vison",NA,NA,NA
"PF74",NA,NA,"Vulpes vulpes",NA,NA,NA
"PF74",NA,NA,"Meles meles",NA,NA,NA
"PF74",NA,NA,"Lutra lutra",NA,NA,NA
"PE86",NA,NA,"Martes foina",NA,NA,NA
"PE76",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE76",NA,NA,"Martes foina",NA,NA,NA
"PE76",NA,NA,"Meles meles",NA,NA,NA
"PE76",NA,NA,"Genetta genetta",NA,NA,NA
"PE86",NA,NA,"Meles meles",NA,NA,NA
"PE86",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE86",NA,NA,"Genetta genetta",NA,NA,NA
"PE75",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE75",NA,NA,"Martes foina",NA,NA,NA
"PE75",NA,NA,"Meles meles",NA,NA,NA
"PE87",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE87",NA,NA,"Genetta genetta",NA,NA,NA
"PE87",NA,NA,"Herpestes ichneumon",NA,NA,NA
"PE87",NA,NA,"Meles meles",NA,NA,NA
"PE87",NA,NA,"Martes foina",NA,NA,NA
"PE77",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE77",NA,NA,"Martes foina",NA,NA,NA
"PE86",NA,NA,"Herpestes ichneumon",NA,NA,NA
"PE67",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE67",NA,NA,"Martes foina",NA,NA,NA
"PE66",NA,NA,"Martes foina",NA,NA,NA
"PE66",NA,NA,"Genetta genetta",NA,NA,NA
"PE67",NA,NA,"Meles meles",NA,NA,NA
"PE67",NA,NA,"Genetta genetta",NA,NA,NA
"PE66",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE65",NA,NA,"Vulpes vulpes",NA,NA,NA
"PE65",NA,NA,"Martes foina",NA,NA,NA
"PE65",NA,NA,"Herpestes ichneumon",NA,NA,NA
"PE75",NA,NA,"Genetta genetta",NA,NA,NA
"PE65",NA,NA,"Genetta genetta",NA,NA,NA
"PE78",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE78",NA,NA,"Sus scrofa",NA,NA,NA
"PF74",NA,NA,"Capreolus capreolus",NA,NA,NA
"PF74",NA,NA,"Sus scrofa",NA,NA,NA
"PE76",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE76",NA,NA,"Sus scrofa",NA,NA,NA
"PE86",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE86",NA,NA,"Sus scrofa",NA,NA,NA
"PE75",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE75",NA,NA,"Sus scrofa",NA,NA,NA
"PE87",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE87",NA,NA,"Sus scrofa",NA,NA,NA
"PE77",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE77",NA,NA,"Sus scrofa",NA,NA,NA
"PE67",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE67",NA,NA,"Sus scrofa",NA,NA,NA
"PE66",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE65",NA,NA,"Capreolus capreolus",NA,NA,NA
"PE65",NA,NA,"Cervus elaphus",NA,NA,NA
"PE65",NA,NA,"Sus scrofa",NA,NA,NA
"PE78",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PE76",NA,NA,"Lepus granatensis",NA,NA,NA
"PE75",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PE76",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PE86",NA,NA,"Lepus granatensis",NA,NA,NA
"PE87",NA,NA,"Lepus granatensis",NA,NA,NA
"PE77",NA,NA,"Lepus granatensis",NA,NA,NA
"PE65",NA,NA,"Lepus granatensis",NA,NA,NA
"PF71",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PF61",NA,NA,"Oryctolagus cuniculus",NA,NA,NA
"PE78",NA,NA,"Eliomys quercinus",NA,NA,NA
"PE78",NA,NA,"Apodemus sylvaticus",NA,NA,NA
"PE76",NA,NA,"Sciurus vulgaris",NA,NA,NA
"PE86",NA,NA,"Sciurus vulgaris",NA,NA,NA
"PE75",NA,NA,"Sciurus vulgaris",NA,NA,NA
"PE75",NA,NA,"Apodemus sylvaticus",NA,NA,NA
"PE67",NA,NA,"Sciurus vulgaris",NA,NA,NA
"PE66",NA,NA,"Sciurus vulgaris",NA,NA,NA
"PE65",NA,NA,"Sciurus vulgaris",NA,NA,NA
"NE89",NA,NA,"Crocidura suaveolens",NA,NA,NA
"ND12",NA,NA,"Crocidura suaveolens",NA,NA,NA
"ND87",NA,NA,"Crocidura suaveolens",NA,NA,NA
"ND18",NA,NA,"Crocidura suaveolens",NA,NA,NA
"NE53",NA,NA,"Crocidura suaveolens",NA,NA,NA
"NE53",NA,NA,"Neomys anomalus",NA,NA,NA
"NE89",NA,NA,"Neomys anomalus",NA,NA,NA
"NE89",NA,NA,"Sorex granarius",NA,NA,NA
"NE53",NA,NA,"Sorex granarius",NA,NA,NA
"PE46",NA,NA,"Sorex granarius",NA,NA,NA
"ND18",NA,NA,"Sorex granarius",NA,NA,NA
"PD15",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND10",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND13",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE53",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND12",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG80",NA,NA,"Crocidura suaveolens",NA,NA,NA
"ND45",NA,NA,"Crocidura suaveolens",NA,NA,NA
"MC96",NA,NA,"Crocidura suaveolens",NA,NA,NA
"NC88",NA,NA,"Crocidura suaveolens",NA,NA,NA
"NB18",NA,NA,"Crocidura suaveolens",NA,NA,NA
"PE66",NA,NA,"Crocidura suaveolens",NA,NA,NA
"PG22",NA,NA,"Crocidura suaveolens",NA,NA,NA
"PE66",NA,NA,"Neomys anomalus",NA,NA,NA
"PE66",NA,NA,"Sorex granarius",NA,NA,NA
"NG80",NA,NA,"Sorex granarius",NA,NA,NA
"MD85",NA,NA,"Sorex granarius",NA,NA,NA
"NF80",NA,NA,"Sorex granarius",NA,NA,NA
"MD75",NA,NA,"Sorex granarius",NA,NA,NA
"PE16",NA,NA,"Sorex granarius",NA,NA,NA
"NE57",NA,NA,"Sorex granarius",NA,NA,NA
"NF89",NA,NA,"Sorex granarius",NA,NA,NA
"NG43",NA,NA,"Sorex granarius",NA,NA,NA
"ND06",NA,NA,"Sorex granarius",NA,NA,NA
"PG72",NA,NA,"Sorex granarius",NA,NA,NA
"PG62",NA,NA,"Sorex granarius",NA,NA,NA
"NF34",NA,NA,"Sorex granarius",NA,NA,NA
"PE66",NA,NA,"Sorex minutus",NA,NA,NA
"MC96",NA,NA,"Talpa occidentalis",NA,NA,NA
"PE66",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC88",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF31",NA,NA,"Sorex granarius",NA,NA,NA
"NF31",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF20",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB18",NA,NA,"Neomys anomalus",NA,NA,NA
"PB18",NA,NA,"Sorex granarius",NA,NA,NA
"PB18",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD25",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD26",NA,NA,"Talpa occidentalis",NA,NA,NA
"PD62",NA,NA,"Talpa occidentalis",NA,NA,NA
"MD60",NA,NA,"Sorex granarius",NA,NA,NA
"NG93",NA,NA,"Sorex granarius",NA,NA,NA
"PC38",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC31",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF63",NA,NA,"Talpa occidentalis",NA,NA,NA
"PF72",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE46",NA,NA,"Sorex granarius",NA,NA,NA
"ND02",NA,NA,"Sorex granarius",NA,NA,NA
"ND02",NA,NA,"Talpa occidentalis",NA,NA,NA
"PE22",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB27",NA,NA,"Crocidura russula",NA,NA,NA
"NB17",NA,NA,"Crocidura russula",NA,NA,NA
"NB18",NA,NA,"Crocidura russula",NA,NA,NA
"NB28",NA,NA,"Crocidura russula",NA,NA,NA
"ND31",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC39",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND30",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND52",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG40",NA,NA,"Sorex granarius",NA,NA,NA
"NG40",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF58",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND26",NA,NA,"Sorex granarius",NA,NA,NA
"NF77",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG23",NA,NA,"Neomys anomalus",NA,NA,NA
"NG23",NA,NA,"Sorex granarius",NA,NA,NA
"NG23",NA,NA,"Sorex minutus",NA,NA,NA
"NG33",NA,NA,"Sorex minutus",NA,NA,NA
"PF19",NA,NA,"Sorex granarius",NA,NA,NA
"PF19",NA,NA,"Sorex minutus",NA,NA,NA
"PE49",NA,NA,"Sorex granarius",NA,NA,NA
"PF16",NA,NA,"Sorex granarius",NA,NA,NA
"PF16",NA,NA,"Sorex minutus",NA,NA,NA
"PG11",NA,NA,"Neomys anomalus",NA,NA,NA
"PG11",NA,NA,"Sorex granarius",NA,NA,NA
"PG11",NA,NA,"Sorex minutus",NA,NA,NA
"PF13",NA,NA,"Sorex granarius",NA,NA,NA
"NE29",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG22",NA,NA,"Sorex granarius",NA,NA,NA
"NG22",NA,NA,"Sorex minutus",NA,NA,NA
"NG22",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF49",NA,NA,"Sorex granarius",NA,NA,NA
"NF49",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG61",NA,NA,"Sorex granarius",NA,NA,NA
"PG83",NA,NA,"Sorex granarius",NA,NA,NA
"PG83",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG24",NA,NA,"Neomys anomalus",NA,NA,NA
"NG24",NA,NA,"Sorex granarius",NA,NA,NA
"NG24",NA,NA,"Sorex minutus",NA,NA,NA
"NG24",NA,NA,"Talpa occidentalis",NA,NA,NA
"QF29",NA,NA,"Talpa occidentalis",NA,NA,NA
"NF71",NA,NA,"Neomys anomalus",NA,NA,NA
"NF71",NA,NA,"Sorex granarius",NA,NA,NA
"NF71",NA,NA,"Sorex minutus",NA,NA,NA
"NE46",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC35",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC67",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC77",NA,NA,"Talpa occidentalis",NA,NA,NA
"ND69",NA,NA,"Sorex granarius",NA,NA,NA
"MD97",NA,NA,"Sorex granarius",NA,NA,NA
"MD86",NA,NA,"Sorex granarius",NA,NA,NA
"MD97",NA,NA,"Talpa occidentalis",NA,NA,NA
"MD74",NA,NA,"Sorex granarius",NA,NA,NA
"ND39",NA,NA,"Sorex granarius",NA,NA,NA
"MD74",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB33",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC66",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC76",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC86",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC02",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NG82",NA,NA,"Neomys anomalus",NA,NA,NA
"NG82",NA,NA,"Sorex granarius",NA,NA,NA
"NC75",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC78",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC18",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB68",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB98",NA,NA,"Talpa occidentalis",NA,NA,NA
"PB07",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC28",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC46",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC27",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC85",NA,NA,"Crocidura russula",NA,NA,NA
"NC86",NA,NA,"Crocidura russula",NA,NA,NA
"NC87",NA,NA,"Crocidura russula",NA,NA,NA
"NC88",NA,NA,"Crocidura russula",NA,NA,NA
"NB17",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB27",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB18",NA,NA,"Talpa occidentalis",NA,NA,NA
"PG51",NA,NA,"Talpa occidentalis",NA,NA,NA
"NB28",NA,NA,"Talpa occidentalis",NA,NA,NA
"NE52",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC06",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC08",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC32",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC96",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC83",NA,NA,"Talpa occidentalis",NA,NA,NA
"NC65",NA,NA,"Talpa occidentalis",NA,NA,NA
"PC19",NA,NA,"Talpa occidentalis",NA,NA,NA
