"utm10","especie"
"NC67","Oryctolagus cuniculus"
"PE09","Microtus lusitanicus"
"NC31","Crocidura russula"
"NF35","Crocidura russula"
"PF33","Canis lupus"
"MD80","Vulpes vulpes"
"NC31","Microtus cabrerae"
"PC06","Vulpes vulpes"
"NB27","Arvicola sapidus"
"PG61","Lepus granatensis"
"NC87","Vulpes vulpes"
"NF20","Genetta genetta"
"NC31","Mus spretus"
"NB97","Lepus granatensis"
"NF95","Sciurus vulgaris"
"PC19","Vulpes vulpes"
"NB27","Microtus cabrerae"
"MD93","Sus scrofa"
"ND26","Mus spretus"
"Madeira","Mus musculus"
"NC76","Lepus granatensis"
"NC77","Oryctolagus cuniculus"
"PG93","Crocidura russula"
"ND10","Sus scrofa"
"NC88","Oryctolagus cuniculus"
"PE65","Capreolus capreolus"
"NF72","Canis lupus"
"PC02","Vulpes vulpes"
"PB06","Vulpes vulpes"
"ND60","Apodemus sylvaticus"
"NC96","Oryctolagus cuniculus"
"NB62","Genetta genetta"
"NC45","Apodemus sylvaticus"
"ND16","Sciurus vulgaris"
"PE20","Oryctolagus cuniculus"
"NB27","Crocidura russula"
"PC32","Oryctolagus cuniculus"
"PF70","Vulpes vulpes"
"NB24","Microtus cabrerae"
"PC43","Mustela putorius"
"NE74","Vulpes vulpes"
"PE42","Microtus cabrerae"
"NC76","Oryctolagus cuniculus"
"NC76","Talpa occidentalis"
"NC11","Sus scrofa"
"PC18","Oryctolagus cuniculus"
"PB17","Vulpes vulpes"
"ND17","Vulpes vulpes"
"NE97","Talpa occidentalis"
"PF99","Mus spretus"
"NC78","Oryctolagus cuniculus"
"NE36","Vulpes vulpes"
"ND07","Genetta genetta"
"NC75","Talpa occidentalis"
"NB79","Crocidura russula"
"NG53","Vulpes vulpes"
"PB16","Vulpes vulpes"
"NE55","Apodemus sylvaticus"
"NF20","Arvicola sapidus"
"QG10","Crocidura russula"
"PE87","Sus scrofa"
"NE45","Genetta genetta"
"PD59","Cervus elaphus"
"NE45","Crocidura russula"
"NE56","Martes foina"
"MD72","Herpestes ichneumon"
"NB29","Microtus cabrerae"
"PC08","Herpestes ichneumon"
"NF62","Vulpes vulpes"
"NC25","Vulpes vulpes"
"MC88","Lepus granatensis"
"PB32","Oryctolagus cuniculus"
"NC64","Genetta genetta"
"PC53","Herpestes ichneumon"
"PC28","Oryctolagus cuniculus"
"PF32","Oryctolagus cuniculus"
"NB27","Mus spretus"
"ND38","Apodemus sylvaticus"
"NC99","Oryctolagus cuniculus"
"NB97","Oryctolagus cuniculus"
"NC46","Oryctolagus cuniculus"
"NG22","Canis lupus"
"NG64","Vulpes vulpes"
"NB17","Talpa occidentalis"
"NC34","Apodemus sylvaticus"
"MD94","Microtus lusitanicus"
"NE96","Microtus lusitanicus"
"NE63","Vulpes vulpes"
"NC56","Mus spretus"
"NB78","Lepus granatensis"
"NC19","Herpestes ichneumon"
"NE50","Martes foina"
"PD53","Erinaceus europaeus"
"PE35","Sus scrofa"
"NB76","Lepus granatensis"
"NG82","Capreolus capreolus"
"PC03","Vulpes vulpes"
"NC87","Oryctolagus cuniculus"
"PE69","Vulpes vulpes"
"NE63","Cervus elaphus"
"NB36","Apodemus sylvaticus"
"NB17","Microtus duodecimcostatus"
"NC67","Lepus granatensis"
"MD93","Meles meles"
"NG65","Sus scrofa"
"NB28","Microtus cabrerae"
"NC23","Lutra lutra"
"PB33","Oryctolagus cuniculus"
"ND00","Mus spretus"
"NC86","Crocidura russula"
"NB59","Lepus granatensis"
"PE45","Capreolus capreolus"
"PB24","Oryctolagus cuniculus"
"ND10","Apodemus sylvaticus"
"NB93","Lepus granatensis"
"PD06","Meles meles"
"PE64","Genetta genetta"
"PF87","Microtus lusitanicus"
"NE63","Sciurus vulgaris"
"PD44","Arvicola sapidus"
"PC06","Genetta genetta"
"NB17","Microtus cabrerae"
"NC77","Talpa occidentalis"
"NB41","Mus spretus"
"ND67","Mus musculus"
"PC08","Lepus granatensis"
"PE64","Cervus elaphus"
"NB19","Microtus cabrerae"
"NC30","Lepus granatensis"
"NC81","Mustela putorius"
"QF08","Microtus lusitanicus"
"PE69","Lepus granatensis"
"PF52","Sciurus vulgaris"
"NE29","Mus spretus"
"NF20","Vulpes vulpes"
"PD53","Apodemus sylvaticus"
"ND31","Mus spretus"
"NC65","Mus musculus"
"MD74","Microtus lusitanicus"
"ND28","Vulpes vulpes"
"NE51","Genetta genetta"
"NC75","Oryctolagus cuniculus"
"PD31","Lutra lutra"
"NB96","Vulpes vulpes"
"PF87","Mus spretus"
"NC88","Crocidura russula"
"PC42","Mus spretus"
"ND18","Mus spretus"
"PG03","Sus scrofa"
"NF71","Mus spretus"
"ND52","Microtus cabrerae"
"PE64","Sus scrofa"
"NC38","Herpestes ichneumon"
"PC61","Vulpes vulpes"
"NC77","Lepus granatensis"
"PE78","Vulpes vulpes"
"PC43","Oryctolagus cuniculus"
"QF07","Microtus lusitanicus"
"PC52","Vulpes vulpes"
"PF32","Sus scrofa"
"NF93","Vulpes vulpes"
"NC67","Vulpes vulpes"
"MD74","Mus spretus"
"NB81","Sus scrofa"
"NC57","Vulpes vulpes"
"NC66","Oryctolagus cuniculus"
"QG03","Cervus elaphus"
"NE22","Mus spretus"
"PD22","Oryctolagus cuniculus"
"NC35","Mus spretus"
"PC28","Lepus granatensis"
"PB48","Vulpes vulpes"
"NC19","Mus spretus"
"PF33","Sciurus vulgaris"
"NC91","Erinaceus europaeus"
"PF52","Capreolus capreolus"
"ND20","Herpestes ichneumon"
"PG93","Microtus lusitanicus"
"ND10","Mus spretus"
"PE56","Microtus cabrerae"
"PG83","Microtus agrestis"
"PC02","Erinaceus europaeus"
"Corvo","Mus musculus"
"ND18","Sciurus vulgaris"
"MC89","Mus spretus"
"NC51","Meles meles"
"PB31","Microtus duodecimcostatus"
"NE56","Apodemus sylvaticus"
"NB18","Microtus cabrerae"
"NC94","Herpestes ichneumon"
"PF22","Canis lupus"
"PC29","Vulpes vulpes"
"MC69","Apodemus sylvaticus"
"ND10","Vulpes vulpes"
"MC89","Microtus lusitanicus"
"NF30","Lutra lutra"
"PF31","Martes foina"
"PB06","Oryctolagus cuniculus"
"PE76","Vulpes vulpes"
"PB48","Herpestes ichneumon"
"PF87","Crocidura russula"
"NC64","Vulpes vulpes"
"NC54","Meles meles"
"NB96","Lepus granatensis"
"NC27","Erinaceus europaeus"
"PC39","Vulpes vulpes"
"NG80","Crocidura suaveolens"
"NC87","Talpa occidentalis"
"NE45","Apodemus sylvaticus"
"NF44","Mus musculus"
"PD19","Oryctolagus cuniculus"
"NC06","Microtus lusitanicus"
"PD31","Oryctolagus cuniculus"
"PB06","Herpestes ichneumon"
"NC78","Lepus granatensis"
"NC25","Meles meles"
"PF59","Microtus cabrerae"
"PE78","Capreolus capreolus"
"PC07","Microtus cabrerae"
"NC55","Martes foina"
"PD20","Oryctolagus cuniculus"
"NE41","Capreolus capreolus"
"PD60","Mus spretus"
"NF20","Mus spretus"
"NC75","Lepus granatensis"
"PE37","Martes foina"
"PB18","Meles meles"
"PB18","Sorex granarius"
"NF56","Apodemus sylvaticus"
"NC58","Vulpes vulpes"
"ND18","Oryctolagus cuniculus"
"PF13","Microtus agrestis"
"PE79","Capreolus capreolus"
"NC66","Microtus cabrerae"
"NB34","Mus spretus"
"NC62","Apodemus sylvaticus"
"NC67","Talpa occidentalis"
"MD94","Mus spretus"
"MD61","Microtus lusitanicus"
"NC58","Oryctolagus cuniculus"
"NC60","Vulpes vulpes"
"NC58","Martes foina"
"MC69","Mus spretus"
"NC09","Mus spretus"
"NC46","Mus spretus"
"PF72","Microtus agrestis"
"NC31","Apodemus sylvaticus"
"PF87","Apodemus sylvaticus"
"PE62","Cervus elaphus"
"MC69","Crocidura russula"
"NC68","Oryctolagus cuniculus"
"NF71","Microtus agrestis"
"NC65","Apodemus sylvaticus"
"PE62","Vulpes vulpes"
"NB96","Oryctolagus cuniculus"
